,prime,target,target.RT
0,abdomen,body,543.8709677419355
1,abdomen,tear,751.3103448275862
2,abduct,australia,733.2258064516129
3,abduct,kidnap,678.1666666666666
4,ability,capability,774.25
5,ability,summary,703.0967741935484
6,able,beam,679.4
7,able,willing,833.8214285714286
8,abnormal,insane,818.1935483870968
9,abnormal,tighten,711.6428571428571
10,above,below,665.59375
11,above,property,662.5806451612904
12,abstract,thought,594.939393939394
13,abstract,unknown,669.7096774193549
14,absurd,ridiculous,783.2666666666667
15,absurd,satin,947.4642857142856
16,abundance,cloth,742.0666666666667
17,abundance,lots,611.0333333333333
18,accelerate,drugs,580.4516129032259
19,accelerate,speed,614.0322580645161
20,accept,towel,605.6896551724138
21,accept,understand,616.9333333333333
22,accomplish,finish,617.9677419354839
23,accomplish,gather,646.625
24,accomplished,fantasy,658.8709677419355
25,accomplished,finished,645.1333333333333
26,account,bag,630.0
27,account,for,811.9677419354839
28,accumulate,broken,594.741935483871
29,accumulate,gather,669.21875
30,accurate,fish,648.9354838709677
31,accurate,precise,756.5185185185185
32,accuse,court,767.09375
33,accuse,pants,807.5
34,ace,length,623.4193548387096
35,ace,poker,646.0
36,achieve,math,578.03125
37,achieve,succeed,612.1515151515151
38,achievement,oyster,937.6923076923076
39,achievement,success,588.6774193548387
40,acid,blow,663.6333333333333
41,acid,drug,572.6666666666666
42,acquire,get,628.7096774193549
43,acquire,offense,747.0
44,acre,land,571.9032258064516
45,acre,vanish,779.2666666666667
46,acrobat,dancer,604.0
47,acrobat,jewish,748.1333333333333
48,act,pie,664.4444444444445
49,act,play,551.3548387096774
50,action,noise,647.8709677419355
51,action,verb,650.7096774193549
52,actor,actress,667.5806451612904
53,actor,color,591.5625
54,actress,actor,661.3225806451613
55,actress,key,576.21875
56,ad,ask,690.40625
57,ad,sell,687.551724137931
58,add,lion,647.8928571428571
59,add,subtract,707.1875
60,addict,dependent,698.1
61,addict,mob,747.5909090909091
62,addiction,habit,661.9032258064516
63,addiction,poker,637.0333333333333
64,addition,plus,674.6666666666666
65,addition,thunder,754.6774193548387
66,adjective,bank,631.6206896551724
67,adjective,blue,635.1290322580645
68,adjourn,finish,649.5483870967741
69,adjourn,light,556.6206896551724
