Unnamed: 0,prime,target,target.RT,avg_neigh_cos
0,abdomen,body,543.8709677419355,0.55
1,abdomen,tear,751.3103448275862,0.55
2,abduct,australia,733.2258064516129,0.4568421052631579
3,abduct,kidnap,678.1666666666666,0.4568421052631579
4,ability,capability,774.25,0.4315789473684211
5,ability,summary,703.0967741935484,0.4315789473684211
6,able,beam,679.4,0.53
7,able,willing,833.8214285714286,0.53
8,abnormal,insane,818.1935483870968,0.4473684210526316
9,abnormal,tighten,711.6428571428571,0.4473684210526316
10,above,below,665.59375,0.42947368421052634
11,above,property,662.5806451612904,0.42947368421052634
12,abstract,thought,594.939393939394,0.4110526315789474
13,abstract,unknown,669.7096774193549,0.4110526315789474
14,absurd,ridiculous,783.2666666666667,0.5063157894736842
15,absurd,satin,947.4642857142856,0.5063157894736842
16,abundance,cloth,742.0666666666667,0.4431578947368421
17,abundance,lots,611.0333333333333,0.4431578947368421
18,accelerate,drugs,580.4516129032259,0.4315789473684211
19,accelerate,speed,614.0322580645161,0.4315789473684211
20,accept,towel,605.6896551724138,0.49947368421052635
21,accept,understand,616.9333333333333,0.49947368421052635
22,accomplish,finish,617.9677419354839,0.45473684210526316
23,accomplish,gather,646.625,0.45473684210526316
24,accomplished,fantasy,658.8709677419355,0.4136842105263158
25,accomplished,finished,645.1333333333333,0.4136842105263158
26,account,bag,630.0,0.431578947368421
27,account,for,811.9677419354839,0.431578947368421
28,accumulate,broken,594.741935483871,0.3873684210526316
29,accumulate,gather,669.21875,0.3873684210526316
30,accurate,fish,648.9354838709677,0.4421052631578948
31,accurate,precise,756.5185185185185,0.4421052631578948
32,accuse,court,767.09375,0.47368421052631576
33,accuse,pants,807.5,0.47368421052631576
34,ace,length,623.4193548387096,0.4126315789473684
35,ace,poker,646.0,0.4126315789473684
36,achieve,math,578.03125,0.46157894736842103
37,achieve,succeed,612.1515151515151,0.46157894736842103
38,achievement,oyster,937.6923076923076,0.4131578947368421
39,achievement,success,588.6774193548387,0.4131578947368421
40,acid,blow,663.6333333333333,0.5431578947368422
41,acid,drug,572.6666666666666,0.5431578947368422
42,acquire,get,628.7096774193549,0.42157894736842105
43,acquire,offense,747.0,0.42157894736842105
44,acre,land,571.9032258064516,0.4231578947368422
45,acre,vanish,779.2666666666667,0.4231578947368422
46,acrobat,dancer,604.0,0.31315789473684214
47,acrobat,jewish,748.1333333333333,0.31315789473684214
48,act,pie,664.4444444444445,0.43210526315789477
49,act,play,551.3548387096774,0.43210526315789477
50,action,noise,647.8709677419355,0.3663157894736842
51,action,verb,650.7096774193549,0.3663157894736842
52,actor,actress,667.5806451612904,0.5252631578947369
53,actor,color,591.5625,0.5252631578947369
54,actress,actor,661.3225806451613,0.5010526315789473
55,actress,key,576.21875,0.5010526315789473
56,ad,ask,690.40625,0.36157894736842106
57,ad,sell,687.551724137931,0.36157894736842106
58,add,lion,647.8928571428571,0.3847368421052632
59,add,subtract,707.1875,0.3847368421052632
60,addict,dependent,698.1,0.4889473684210526
61,addict,mob,747.5909090909091,0.4889473684210526
62,addiction,habit,661.9032258064516,0.4973684210526315
63,addiction,poker,637.0333333333333,0.4973684210526315
64,addition,plus,674.6666666666666,0.31368421052631584
65,addition,thunder,754.6774193548387,0.31368421052631584
66,adjective,bank,631.6206896551724,0.5494736842105263
67,adjective,blue,635.1290322580645,0.5494736842105263
68,adjourn,finish,649.5483870967741,0.43052631578947365
69,adjourn,light,556.6206896551724,0.43052631578947365
70,adjustment,bra,746.9354838709677,0.38526315789473686
71,adjustment,stone,657.09375,0.38526315789473686
72,admission,ax,771.5882352941177,0.3505263157894737
73,admission,ticket,557.5666666666667,0.3505263157894737
74,admit,confess,750.7741935483871,0.5478947368421053
75,admit,remember,736.3225806451613,0.5478947368421053
76,adolescent,gain,608.84375,0.43999999999999995
77,adolescent,juvenile,876.8965517241379,0.43999999999999995
78,adorable,cute,572.59375,0.5078947368421053
79,adorable,tantrum,884.0,0.5078947368421053
80,advance,forward,654.75,0.36578947368421055
81,advance,garbage,782.9655172413793,0.36578947368421055
82,adventure,electric,715.4193548387096,0.45210526315789473
83,adventure,journey,624.9032258064516,0.45210526315789473
84,adventurous,adolescent,807.8620689655172,0.4242105263157895
85,adventurous,daring,795.741935483871,0.4242105263157895
86,adverb,adjective,714.3125,0.6047368421052631
87,adverb,mom,615.8064516129032,0.6047368421052631
88,adversary,enemy,857.551724137931,0.41947368421052633
89,adversary,wide,667.9333333333333,0.41947368421052633
90,advertisement,great,708.15625,0.38421052631578945
91,advertisement,newspaper,730.7878787878788,0.38421052631578945
92,advise,advice,739.4516129032259,0.4636842105263158
93,advise,kitchen,637.21875,0.4636842105263158
94,affair,cheat,639.1333333333333,0.4942105263157895
95,affair,window,637.03125,0.4942105263157895
98,after,before,577.6129032258065,0.6173684210526316
99,after,sunset,636.96875,0.6173684210526316
100,again,hot,567.2258064516129,0.6542105263157895
101,again,repeat,632.8275862068965,0.6542105263157895
102,against,for,637.6333333333333,0.4231578947368422
103,against,time,529.1612903225806,0.4231578947368422
104,age,helper,784.7692307692307,0.4842105263157894
105,age,old,644.0322580645161,0.4842105263157894
106,agency,bracelet,734.0689655172414,0.35315789473684206
107,agency,company,661.0,0.35315789473684206
108,agenda,arrogant,762.6666666666666,0.3147368421052632
109,agenda,schedule,642.060606060606,0.3147368421052632
110,agree,disagree,657.2121212121212,0.49263157894736836
111,agree,light,602.875,0.49263157894736836
112,agreement,disagreement,665.84375,0.44526315789473686
113,agreement,high,638.741935483871,0.44526315789473686
114,agriculture,carry,650.3225806451613,0.4894736842105263
115,agriculture,farm,606.71875,0.4894736842105263
116,ahead,armor,903.1333333333332,0.5694736842105264
117,ahead,behind,645.34375,0.5694736842105264
118,ahoy,crazy,693.8787878787879,0.3526315789473684
119,ahoy,ship,621.939393939394,0.3526315789473684
120,aim,president,654.1333333333333,0.41
121,aim,toothpaste,680.7142857142857,0.41
122,air,breathe,646.5,0.41210526315789475
